MRTime,Longitude,Latitude,RNCID_1,CellID_1,SignalLevel_1,RSSI_1,RNCID_2,CellID_2,SignalLevel_2,RSSI_2,RNCID_3,CellID_3,SignalLevel_3,RSSI_3,RNCID_4,CellID_4,SignalLevel_4,RSSI_4,RNCID_5,CellID_5,SignalLevel_5,RSSI_5,RNCID_6,CellID_6,SignalLevel_6,RSSI_6,RNCID_7,CellID_7,SignalLevel_7,RSSI_7,LinkNum,id_c5ombine,Longitude_eng,Latitude_eng,lo,la
1510000000000.0,121.2158051,31.28950141,6188,25105,4,-83,6182,41139,4,-85,6188.0,27378.0,4.0,-87.0,6188.0,27394.0,3.0,-93.0,0.0,-1.0,3.0,-93.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5,31293,121.211975,31.276588,0.003830100000001835,0.012913409999999459
1510000000000.0,121.2093179,31.2843806,6188,25105,4,-83,6182,41139,4,-83,6188.0,27378.0,4.0,-87.0,6188.0,27394.0,3.0,-93.0,0.0,-1.0,3.0,-91.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5,31293,121.211975,31.276588,-0.0026570999999933065,0.007792599999998373
1510000000000.0,121.2093178,31.28433619,6188,25105,4,-83,6182,41139,4,-83,6188.0,27378.0,4.0,-87.0,6188.0,27394.0,4.0,-89.0,0.0,-1.0,3.0,-91.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5,31293,121.211975,31.276588,-0.0026572000000015805,0.007748190000000932
1510000000000.0,121.2092819,31.28430747,6188,25105,4,-85,6182,41139,4,-81,6188.0,27378.0,4.0,-83.0,6188.0,27394.0,4.0,-89.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4,31293,121.211975,31.276588,-0.002693100000001891,0.007719470000001394
1510000000000.0,121.2092148,31.28430609,6188,25105,4,-87,6182,41139,4,-81,6188.0,27378.0,4.0,-83.0,6188.0,27394.0,4.0,-83.0,0.0,-1.0,4.0,-89.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5,31293,121.211975,31.276588,-0.002760199999997326,0.007718090000000899
1510000000000.0,121.209168,31.28424647,6188,25105,4,-89,6182,41139,4,-81,6188.0,27378.0,4.0,-77.0,6188.0,27394.0,4.0,-83.0,0.0,-1.0,4.0,-85.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5,31293,121.211975,31.276588,-0.002806999999990012,0.007658469999999085
1510000000000.0,121.2091038,31.28417274,6188,25105,3,-91,6182,41139,4,-79,6188.0,27378.0,4.0,-77.0,6188.0,27394.0,4.0,-77.0,0.0,-1.0,4.0,-85.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5,31293,121.211975,31.276588,-0.002871200000001295,0.0075847399999986465
1510000000000.0,121.2090618,31.28409733,6188,27378,3,-93,6182,41139,4,-81,6188.0,27378.0,4.0,-71.0,6188.0,27394.0,4.0,-77.0,0.0,-1.0,4.0,-83.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5,33566,121.208284,31.289647,0.0007777999999944996,-0.0055496699999970645
1510000000000.0,121.2089638,31.28389679,6188,27378,4,-69,6182,41139,4,-81,6188.0,27395.0,4.0,-81.0,0.0,-1.0,4.0,-87.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4,33566,121.208284,31.289647,0.0006798000000003412,-0.005750209999998646
1510000000000.0,121.2089338,31.28381354,6188,27378,4,-67,6182,41139,4,-85,6188.0,27395.0,4.0,-81.0,0.0,-1.0,4.0,-87.0,6188.0,27394.0,4.0,-77.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5,33566,121.208284,31.289647,0.0006497999999908188,-0.00583345999999807
1510000000000.0,121.208975,31.28374804,6188,27378,4,-63,6182,41139,4,-85,6188.0,27395.0,4.0,-81.0,0.0,-1.0,4.0,-87.0,6188.0,27394.0,4.0,-75.0,6182.0,13698.0,4.0,-79.0,0.0,-1.0,4.0,-87.0,7,33566,121.208284,31.289647,0.000690999999989117,-0.005898959999999676
1510000000000.0,121.20904,31.2836782,6188,27378,4,-59,6182,41139,4,-85,6188.0,27395.0,4.0,-81.0,0.0,-1.0,4.0,-85.0,6188.0,27394.0,4.0,-75.0,6182.0,13698.0,4.0,-81.0,0.0,-1.0,4.0,-87.0,7,33566,121.208284,31.289647,0.000755999999995538,-0.005968799999997998
1510000000000.0,121.2092786,31.28355925,6188,27378,4,-57,6182,41139,4,-85,6188.0,27395.0,4.0,-77.0,0.0,-1.0,4.0,-85.0,6188.0,27394.0,4.0,-73.0,6182.0,13698.0,4.0,-81.0,6188.0,27379.0,4.0,-85.0,7,33566,121.208284,31.289647,0.0009945999999985133,-0.006087749999998948
